ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
ALVEGA;812;2014;1;3;14.2;98.0;6.0;4.5;5.0;0.0;112.5;0.0;0.1;0.0;0.00
AVIS;824;2014;1;3;13.9;97.0;1.0;6.0;4.5;0.1;198.2;0.0;0.1;0.0;0.00
ELVAS;835;2014;1;3;14.0;99.0;10.0;3.0;4.5;0.0;204.1;0.0;0.0;0.0;0.00
ESTREMOZ;837;2014;1;3;12.7;97.0;10.0;0.0;18.5;9.5;545.3;0.0;18.1;0.0;0.00
PORTEL;848;2014;1;3;14.9;92.0;10.0;2.5;30.1;0.2;378.5;0.0;0.3;0.0;0.00
AMARELEJA;850;2014;1;3;15.6;84.0;14.0;1.2;50.3;5.2;372.2;0.3;10.1;0.2;0.00
MERTOLA.VF;863;2014;1;3;17.7;69.0;14.0;1.1;75.8;9.7;489.5;1.6;18.5;2.2;0.11
N. CORVO;864;2014;1;3;17.4;77.0;14.0;0.4;80.7;4.7;320.0;2.5;9.1;2.3;0.11
ALCOUTIM;865;2014;1;3;16.6;81.0;14.0;2.5;60.0;3.8;298.5;0.8;7.4;0.4;0.01
C.MARIM;867;2014;1;3;18.0;76.0;18.0;2.3;65.7;18.2;602.8;1.3;33.8;2.9;0.18
PORTIMAO;878;2014;1;3;17.4;92.0;14.0;4.7;34.5;0.3;253.5;0.0;0.5;0.0;0.00
;;;;;;;;;;;;;;;
ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
SAGRES;533;2014;1;4;18.3;86.0;44.0;4.7;50.1;2.4;480.1;1.5;4.8;0.6;0.01
SINES/MC;541;2014;1;4;15.8;81.0;44.0;2.0;63.5;3.3;371.0;4.5;6.5;3.9;0.30
PORTO/PR;545;2014;1;4;8.7;86.0;49.0;13.7;27.4;0.2;1.3;0.0;0.3;0.0;0.00
COIMBRA/CE;548;2014;1;4;9.8;100.0;26.0;10.7;0.0;0.0;1.5;0.0;0.0;0.0;0.00
V.CASTELO;551;2014;1;4;9.8;68.0;21.0;10.1;33.6;0.4;1.5;0.0;0.5;0.0;0.00
FARO;554;2014;1;4;17.7;76.0;39.0;4.0;66.5;8.7;477.5;4.0;16.7;5.8;0.61
EVORA/CC;558;2014;1;4;13.1;87.0;57.0;5.7;38.3;0.2;108.1;0.4;0.5;0.1;0.00
VISEU/CC;560;2014;1;4;5.7;91.0;20.0;24.0;12.6;0.1;0.7;0.0;0.1;0.0;0.00
BEJA;562;2014;1;4;14.4;80.0;57.0;2.7;61.2;1.8;431.8;7.8;3.6;5.3;0.52
V.REAL;567;2014;1;4;5.4;82.0;19.0;19.0;20.3;0.1;0.7;0.0;0.2;0.0;0.00
P.DOURADAS;568;2014;1;4;0.2;81.0;9.0;3.4;19.3;0.0;0.0;0.0;0.0;0.0;0.00
C.BRANCO;570;2014;1;4;8.7;91.0;32.0;25.0;16.8;0.1;1.3;0.0;0.2;0.0;0.00
PORTALEGRE;571;2014;1;4;7.5;92.0;32.0;16.7;16.0;7.2;170.9;0.0;13.0;0.0;0.00
BRAGANCA;575;2014;1;4;2.6;87.0;22.0;28.0;15.4;0.1;0.2;0.0;0.1;0.0;0.00
LISBOA/GC;579;2014;1;4;13.8;83.0;40.0;15.0;35.6;0.3;64.2;0.1;0.6;0.0;0.00
MONCAO;605;2014;1;4;10.0;76.0;13.0;20.5;27.3;0.3;1.5;0.0;0.4;0.0;0.00
LAM.MOURO;606;2014;1;4;0.9;82.0;26.0;18.3;20.8;0.0;0.0;0.0;0.0;0.0;0.00
MONTALEGRE;611;2014;1;4;0.0;98.0;26.0;18.5;3.3;0.0;0.0;0.0;0.0;0.0;0.00
P.LIMA;615;2014;1;4;9.6;73.0;21.0;16.7;30.8;0.4;1.4;0.0;0.4;0.0;0.00
CHAVES;616;2014;1;4;5.8;83.0;5.0;21.0;13.7;0.1;0.7;0.0;0.2;0.0;0.00
CABRIL;619;2014;1;4;4.9;88.0;26.0;17.4;18.4;0.1;0.6;0.0;0.1;0.0;0.00
BRAGA;622;2014;1;4;9.7;77.0;21.0;14.6;28.4;0.3;1.5;0.0;0.4;0.0;0.00
