ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
SABUGAL;800;2011;5;2;17.3;55.0;4.0;0.2;56.8;5.3;12.1;0.4;5.2;0.2;0.00
ZEBREIRA;803;2011;5;2;20.5;61.0;7.0;0.0;69.3;8.1;22.0;0.9;8.4;0.5;0.01
PROENCA;806;2011;5;2;20.0;67.0;13.0;0.9;65.5;6.2;11.5;1.0;6.1;0.5;0.01
ALVEGA;812;2011;5;2;24.0;57.0;3.0;0.1;86.7;47.9;170.1;3.1;56.3;9.6;1.49
AVIS;824;2011;5;2;23.1;49.0;6.0;0.6;84.0;23.4;130.1;2.5;32.3;5.5;0.56
ELVAS;835;2011;5;2;21.4;61.0;5.0;0.2;68.2;6.1;197.8;0.8;11.3;0.5;0.01
ESTREMOZ;837;2011;5;2;19.9;75.0;10.0;2.0;60.6;5.4;75.1;0.7;9.1;0.4;0.01
PORTEL;848;2011;5;2;20.3;66.0;10.0;1.3;78.3;20.2;133.0;1.6;29.3;3.2;0.21
AMARELEJA;850;2011;5;2;22.1;64.0;10.0;1.0;72.9;11.5;61.6;1.1;15.7;0.9;0.02
MERTOLA.VF;863;2011;5;2;20.2;60.0;9.0;1.0;67.6;8.6;63.0;0.9;12.9;0.6;0.01
N. CORVO;864;2011;5;2;19.6;67.0;11.0;2.0;56.6;9.3;112.8;0.6;15.4;0.4;0.01
ALCOUTIM;865;2011;5;2;19.6;70.0;3.0;2.0;29.5;2.9;23.6;0.0;4.4;0.0;0.00
C.MARIM;867;2011;5;2;19.5;75.0;3.0;7.8;34.4;4.6;107.5;0.0;8.2;0.0;0.00
PORTIMAO;878;2011;5;2;18.7;78.0;7.0;10.0;28.1;3.5;105.1;0.0;6.5;0.0;0.00
;;;;;;;;;;;;;;;
ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
SAGRES;533;2011;5;3;19.4;67.0;15.0;1.0;61.5;4.0;41.9;1.0;6.4;0.5;0.01
SINES/MC;541;2011;5;3;18.7;64.0;17.0;0.0;74.3;5.5;11.6;1.7;5.4;0.8;0.02
PORTO/PR;545;2011;5;3;17.4;65.0;12.0;0.0;82.1;31.1;134.8;2.6;39.5;6.7;0.79
COIMBRA/CE;548;2011;5;3;18.4;59.0;11.0;0.0;79.6;11.5;65.9;1.9;16.0;2.4;0.13
V.CASTELO;551;2011;5;3;17.2;66.0;16.0;0.0;77.2;23.1;110.2;2.0;30.3;4.2;0.34
FARO;554;2011;5;3;20.2;64.0;23.0;0.0;81.9;14.8;123.5;4.5;22.8;7.8;1.03
EVORA/CC;558;2011;5;3;20.2;57.0;16.0;0.0;84.2;16.4;42.6;4.2;16.7;6.1;0.68
VISEU/CC;560;2011;5;3;16.3;56.0;12.0;0.0;75.9;7.5;18.2;1.5;7.5;0.8;0.02
BEJA;562;2011;5;3;19.7;57.0;17.0;0.2;78.7;7.7;30.9;2.4;9.4;2.1;0.10
V.REAL;567;2011;5;3;16.8;54.0;14.0;0.2;82.0;15.5;107.7;2.9;22.8;5.1;0.49
P.DOURADAS;568;2011;5;3;11.5;60.0;23.0;5.0;51.6;1.4;6.9;0.6;1.8;0.2;0.00
C.BRANCO;570;2011;5;3;20.4;44.0;9.0;0.0;84.3;11.5;17.6;3.0;11.2;3.4;0.23
PORTALEGRE;571;2011;5;3;17.5;66.0;14.0;0.1;74.9;7.4;22.1;1.5;8.0;0.8;0.02
BRAGANCA;575;2011;5;3;18.0;53.0;11.0;0.0;68.7;6.8;11.1;1.0;6.6;0.5;0.01
LISBOA/GC;579;2011;5;3;19.2;59.0;10.0;0.0;82.5;11.5;30.7;2.5;11.9;2.8;0.17
MONCAO;605;2011;5;3;21.4;51.0;9.0;0.0;81.9;32.8;114.8;2.2;38.3;5.5;0.56
LAM.MOURO;606;2011;5;3;12.7;69.0;14.0;0.0;54.6;1.9;50.1;0.5;3.5;0.2;0.00
MONTALEGRE;611;2011;5;3;13.6;56.0;6.0;0.9;64.8;4.8;11.9;0.7;4.8;0.3;0.00
P.LIMA;615;2011;5;3;18.7;56.0;4.0;0.0;70.9;12.9;73.7;0.8;17.9;0.7;0.01
CHAVES;616;2011;5;3;19.4;45.0;2.0;0.0;59.4;6.5;11.4;0.4;6.3;0.2;0.00
CABRIL;619;2011;5;3;17.4;62.0;11.0;1.5;72.0;18.0;105.7;1.2;25.2;1.8;0.07
BRAGA;622;2011;5;3;20.3;51.0;8.0;0.0;74.9;12.3;54.5;1.1;15.7;0.9;0.02
