ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
BRAGANCA;575;2016;9;18;20.2;42.0;8.0;0.0;88.1;63.9;732.0;5.0;104.9;19.8;5.35
MIRANDELA;632;2016;9;18;22.8;41.0;5.0;0.0;89.0;96.2;832.5;4.7;149.3;21.9;6.44
M.DOURO;635;2016;9;18;20.7;45.0;7.0;0.0;88.0;148.2;904.0;4.7;210.3;23.3;7.16
MOGADOURO;637;2016;9;18;21.2;35.0;12.0;0.0;89.8;75.1;719.3;7.8;119.1;28.7;10.33
MCAVALEIRO;633;2016;9;18;21.0;38.0;6.0;0.0;89.4;422.9;962.2;5.2;422.2;25.9;8.65
C.ANSIAES;644;2016;9;18;20.6;42.0;8.0;0.0;88.4;68.8;678.8;5.2;109.8;20.8;5.88
MONCORVO;654;2016;9;18;21.5;37.0;13.0;0.0;89.6;53.0;712.2;7.6;89.4;24.8;7.99
AVEIRO/UNI;702;2016;9;18;23.8;54.0;0.0;0.0;85.9;52.5;603.1;2.4;86.3;10.3;1.68
ANADIA;705;2016;9;18;27.8;41.0;4.0;0.0;89.1;41.5;651.4;4.7;71.6;15.4;3.42
AROUCA;669;2016;9;18;26.8;29.0;4.0;0.0;91.3;62.7;562.3;6.2;98.1;22.4;6.70
VISEU/CC;560;2016;9;18;24.7;36.0;14.0;0.0;90.3;111.9;781.4;9.1;164.8;35.3;14.92
MOIM.BEIRA;663;2016;9;18;21.6;39.0;10.0;0.0;89.3;75.8;685.9;6.5;118.7;25.4;8.34
NELAS;685;2016;9;18;25.3;36.0;11.0;0.0;90.5;88.8;673.6;8.0;133.6;30.5;11.55
GUARDA;683;2016;9;18;18.8;45.0;10.0;0.0;87.4;63.6;566.0;5.0;99.4;19.2;5.10
P.DOURADAS;568;2016;9;18;19.3;47.0;8.0;0.0;86.8;67.5;441.5;4.1;97.7;16.6;3.92
FC.RODRIGO;671;2016;9;18;22.2;37.0;12.0;0.0;89.7;74.2;621.9;7.6;114.3;27.7;9.71
TRANCOSO;666;2016;9;18;20.0;40.0;11.0;0.0;88.6;74.8;657.4;6.2;116.4;24.2;7.65
SABUGAL;800;2016;9;18;21.7;39.0;9.0;0.0;89.3;345.4;874.3;6.2;347.5;29.1;10.61
COIMBRA/CE;548;2016;9;18;25.7;40.0;10.0;0.0;89.8;53.6;649.2;6.8;88.8;22.9;6.92
LOUSA;697;2016;9;18;28.0;33.0;5.0;0.0;91.5;60.1;693.6;6.9;98.8;24.2;7.67
PAMP.SERRA;686;2016;9;18;24.7;30.0;7.0;0.0;90.3;37.4;637.2;6.4;65.3;18.5;4.77
FIG.FOZ;713;2016;9;18;24.8;56.0;9.0;0.0;85.7;31.7;632.5;3.7;56.4;11.2;1.95
LEIRIA/AER;718;2016;9;18;19.1;42.0;11.0;0.0;87.7;62.3;672.3;5.4;101.1;20.7;5.81
ANSIAO;716;2016;9;18;27.8;36.0;12.0;0.0;91.0;62.8;621.9;9.0;100.3;29.5;10.85
ALCOBACA;726;2016;9;18;26.9;84.0;10.0;0.0;80.4;70.9;819.4;2.0;116.6;10.4;1.71
C.BRANCO;570;2016;9;18;25.8;31.0;4.0;0.0;91.8;101.1;845.0;6.7;155.7;28.5;10.23
COVILHA;687;2016;9;18;25.5;35.0;12.0;0.0;90.8;74.1;611.5;8.8;113.7;30.6;11.62
ZEBREIRA;803;2016;9;18;26.4;31.0;4.0;0.0;91.9;86.2;668.8;6.8;130.4;27.2;9.44
PROENCA;806;2016;9;18;26.7;29.0;7.0;0.0;92.3;98.5;785.3;8.3;150.0;32.4;12.83
LISBOA/GC;579;2016;9;18;27.3;37.0;13.0;0.0;90.8;97.1;805.7;9.0;149.2;34.3;14.18
D.PORTOS;739;2016;9;18;29.3;36.0;8.0;0.0;91.2;95.9;835.2;7.6;149.0;30.6;11.60
SANTAREMFB;734;2016;9;18;28.5;33.0;10.0;0.0;91.8;97.6;784.1;9.1;148.9;34.4;14.26
R.MAIOR;729;2016;9;18;31.0;20.0;6.0;0.0;94.7;99.3;880.4;11.2;154.9;39.9;18.55
CORUCHE;744;2016;9;18;29.3;30.0;10.0;0.0;92.5;98.7;817.8;10.1;151.6;37.1;16.34
TOMAR;724;2016;9;18;30.4;27.0;7.0;0.0;93.3;98.0;839.0;9.9;151.7;36.6;15.90
ALVEGA;812;2016;9;18;29.3;29.0;13.0;0.0;92.8;68.1;753.4;12.5;111.2;38.3;17.27
PORTALEGRE;571;2016;9;18;25.4;31.0;14.0;0.0;91.7;81.3;741.8;11.1;127.6;37.4;16.55
ELVAS;835;2016;9;18;28.1;30.0;10.0;0.0;92.5;587.9;1077.2;10.1;583.9;40.3;18.88
AVIS;824;2016;9;18;28.5;30.0;8.0;0.0;92.5;88.2;832.9;9.0;139.5;33.4;13.57
EVORA/CC;558;2016;9;18;29.9;26.0;4.0;0.0;93.6;110.3;1004.6;8.9;173.1;35.2;14.89
ESTREMOZ;837;2016;9;18;28.2;28.0;12.0;0.0;92.9;97.7;844.4;11.6;151.5;40.6;19.12
PORTEL;848;2016;9;18;31.4;21.0;10.0;0.0;94.9;115.0;1036.3;14.5;180.0;48.5;26.17
SETUBAL;770;2016;9;18;30.2;30.0;8.0;0.0;92.7;97.7;824.4;9.4;150.7;35.3;14.94
ALCAC.SAL;776;2016;9;18;31.8;29.0;7.0;0.0;93.3;106.5;953.0;9.8;166.4;37.2;16.41
ALVALADE;783;2016;9;18;32.1;50.0;6.0;0.0;89.2;304.1;1092.7;5.2;358.6;25.8;8.55
SINES/MC;541;2016;9;18;24.7;50.0;20.0;0.0;87.9;91.6;894.8;8.7;145.9;33.1;13.35
BARREIRO;766;2016;9;18;25.3;45.0;16.0;0.0;89.4;123.0;899.1;8.7;183.3;34.9;14.64
BEJA;562;2016;9;18;29.7;23.0;10.0;0.0;94.2;103.1;864.1;13.0;158.9;44.3;22.28
AMARELEJA;851;2016;9;18;29.8;27.0;12.0;0.0;93.9;600.4;1073.0;13.7;595.9;48.8;26.46
MERTOLA.VF;863;2016;9;18;30.7;19.0;7.0;0.0;95.2;111.1;998.3;12.6;173.8;44.1;22.16
N.CORVO;864;2016;9;18;31.1;30.0;13.0;0.0;93.0;115.9;1101.0;12.6;183.5;44.6;22.59
FARO;554;2016;9;18;27.2;39.0;10.0;0.0;91.7;101.6;926.1;9.0;159.4;34.8;14.52
C.MARIM;867;2016;9;18;27.3;34.0;20.0;0.0;93.1;544.2;1173.5;18.1;542.5;58.0;35.95
ALCOUTIM;865;2016;9;18;30.2;26.0;4.0;0.0;93.6;107.2;966.9;8.8;167.9;34.7;14.46
PORTIMAO;878;2016;9;18;27.4;47.0;10.0;0.0;90.9;468.6;1138.1;8.2;468.3;35.0;14.69
SAGRES;533;2016;9;18;28.5;39.0;13.0;0.0;90.6;109.2;947.2;8.9;169.6;35.2;14.84
;;;;;;;;;;;;;;;
ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
V.CASTELO;551;2016;9;19;20.8;55.0;3.0;0.0;87.1;61.2;642.4;3.2;98.8;13.9;2.87
MONCAO;605;2016;9;19;22.5;59.0;9.0;0.0;85.9;33.6;402.6;3.7;55.6;11.0;1.91
LAM.MOURO;606;2016;9;19;20.9;31.0;1.0;0.0;89.9;21.4;333.5;4.4;36.9;10.1;1.64
P.LIMA;615;2016;9;19;26.2;32.0;3.0;0.0;91.6;47.6;415.5;6.1;74.0;19.1;5.01
BRAGA;622;2016;9;19;27.0;36.0;3.0;0.0;90.9;49.0;549.2;5.6;80.1;18.6;4.82
